date,BRVM-COMPOSITE,BRVM-FINANCES,CAC_40,S&P_500
2020-07-14,131.22,52.86,5007.4599609375,3197.52001953125
2020-07-15,130.33,52.5,5108.97998046875,3226.56005859375
2020-07-16,129.78,52.29,5085.27978515625,3215.570068359375
2020-07-17,130.64,52.62,5069.419921875,3224.72998046875
2020-07-20,129.72,52.3,5093.18017578125,3251.840087890625
2020-07-21,129.41,52.2,5104.27978515625,3257.300048828125
2020-07-22,128.57,51.8,5037.1201171875,3276.02001953125
2020-07-23,128.3,51.76,5033.759765625,3235.659912109375
2020-07-24,128.47,51.85,4956.43017578125,3215.6298828125
2020-07-27,127.75,51.6,4939.6201171875,3239.409912109375
2020-07-28,127.73,51.93,4928.93994140625,3218.43994140625
2020-07-29,127.73,52.15,4958.740234375,3258.43994140625
2020-07-30,128.61,52.39,4852.93994140625,3246.219970703125
2020-07-31,,,4783.68994140625,3271.1201171875
2020-08-03,126.9,51.69,4875.93017578125,3294.610107421875
2020-08-04,129.03,52.08,4889.52001953125,3306.510009765625
2020-08-05,130.01,51.95,4933.33984375,3327.77001953125
2020-08-06,129.67,51.68,4885.1298828125,3349.159912109375
2020-08-07,,,4889.52001953125,3351.280029296875
2020-08-10,128.63,51.95,4909.509765625,3360.469970703125
2020-08-11,129.81,51.94,5027.990234375,3333.68994140625
2020-08-12,129.5,51.9,5073.31005859375,3380.35009765625
2020-08-13,129.47,51.73,5042.3798828125,3373.429931640625
2020-08-14,129.93,51.81,4962.93017578125,3372.85009765625
2020-08-17,129.27,51.52,4971.93994140625,3381.989990234375
2020-08-18,129.22,51.59,4938.06005859375,3389.780029296875
2020-08-19,128.96,51.59,4977.22998046875,3374.85009765625
2020-08-20,129.29,51.61,4911.240234375,3385.510009765625
2020-08-21,128.54,51.45,4896.330078125,3397.159912109375
2020-08-24,128.27,51.2,5007.89013671875,3431.280029296875
2020-08-25,128.49,51.21,5008.27001953125,3443.6201171875
2020-08-26,129.94,51.75,5048.43017578125,3478.72998046875
2020-08-27,128.92,51.59,5015.97021484375,3484.550048828125
2020-08-28,129.15,51.89,5002.93994140625,3508.010009765625
2020-08-31,130.57,52.62,4947.22021484375,3500.31005859375
2020-09-01,130.05,52.73,4938.10009765625,3526.64990234375
2020-09-02,128.4,51.84,5031.740234375,3580.840087890625
2020-09-03,128.2,51.71,5009.52001953125,3455.06005859375
2020-09-04,128.9,52.09,4965.06982421875,3426.9599609375
2020-09-07,128.4,51.98,5053.72021484375,
2020-09-08,127.29,51.67,4973.52001953125,3331.840087890625
2020-09-09,127.24,51.41,5042.97998046875,3398.9599609375
2020-09-10,127.94,51.54,5023.93017578125,3339.18994140625
2020-09-11,127.72,51.83,5034.14013671875,3340.969970703125
2020-09-14,128.44,51.75,5051.8798828125,3383.5400390625
2020-09-15,127.17,51.83,5067.93017578125,3401.199951171875
2020-09-16,126.52,51.81,5074.419921875,3385.489990234375
2020-09-17,126.92,51.98,5039.5,3357.010009765625
2020-09-18,126.33,51.53,4978.18017578125,3319.469970703125
2020-09-21,125.65,51.22,4792.0400390625,3281.06005859375
2020-09-22,125.87,51.6,4772.83984375,3315.570068359375
2020-09-23,125.67,51.63,4802.259765625,3236.919921875
2020-09-24,125.33,51.32,4762.6201171875,3246.590087890625
2020-09-25,126.34,52.06,4729.66015625,3298.4599609375
2020-09-28,125.57,51.89,4843.27001953125,3351.60009765625
2020-09-29,125.56,51.76,4832.06982421875,3335.469970703125
2020-09-30,126.25,52.48,4803.43994140625,3363.0
2020-10-01,125.24,51.84,4824.0400390625,3380.800048828125
2020-10-02,124.12,51.42,4824.8798828125,3348.419921875
2020-10-05,124.18,51.17,4871.8701171875,3408.60009765625
2020-10-06,123.67,50.92,4895.4599609375,3360.969970703125
2020-10-07,124.26,51.44,4882.0,3419.43994140625
2020-10-08,123.05,50.38,4911.93994140625,3446.830078125
2020-10-09,124.03,51.51,4946.81005859375,3477.139892578125
2020-10-12,123.54,51.06,4979.2900390625,3534.219970703125
2020-10-13,122.75,50.63,4947.60986328125,3511.929931640625
2020-10-14,123.1,50.75,4941.66015625,3488.669921875
2020-10-15,122.37,50.76,4837.419921875,3483.340087890625
2020-10-16,122.88,51.11,4935.85986328125,3483.81005859375
2020-10-19,123.36,51.33,4942.6201171875,3426.919921875
2020-10-20,123.35,51.84,4929.27978515625,3443.1201171875
2020-10-21,123.46,52.0,4853.9501953125,3435.56005859375
2020-10-22,123.7,52.06,4851.3798828125,3453.489990234375
2020-10-23,123.82,52.21,4909.64013671875,3465.389892578125
2020-10-26,122.19,52.17,4816.1201171875,3400.969970703125
2020-10-27,123.79,52.46,4730.66015625,3390.679931640625
2020-10-28,124.96,53.06,4571.1201171875,3271.030029296875
2020-10-29,,,4569.669921875,3310.110107421875
2020-10-30,128.18,53.62,4594.240234375,3269.9599609375
2020-11-02,129.82,53.62,4691.14013671875,3310.239990234375
2020-11-03,126.86,52.85,4805.60986328125,3369.159912109375
2020-11-04,126.81,52.57,4922.85009765625,3443.43994140625
2020-11-05,128.34,53.46,4983.990234375,3510.449951171875
2020-11-06,,,4960.8798828125,3509.43994140625
2020-11-09,128.9,54.37,5336.31982421875,3550.5
2020-11-10,129.06,54.43,5418.97021484375,3545.530029296875
2020-11-11,128.94,54.27,5445.2099609375,3572.659912109375
2020-11-12,128.48,54.0,5362.56982421875,3537.010009765625
2020-11-13,127.86,53.77,5380.16015625,3585.14990234375
2020-11-16,128.31,53.98,5471.47998046875,3626.909912109375
2020-11-17,128.97,54.22,5483.0,3609.530029296875
2020-11-18,128.98,54.24,5511.4501953125,3567.7900390625
2020-11-19,128.64,53.9,5474.66015625,3581.8701171875
2020-11-20,128.82,53.77,5495.89013671875,3557.5400390625
2020-11-23,130.31,55.06,5492.14990234375,3577.590087890625
2020-11-24,129.54,54.9,5558.419921875,3635.409912109375
2020-11-25,130.23,55.5,5571.2900390625,3629.64990234375
2020-11-26,129.91,55.69,5566.7900390625,
2020-11-27,130.86,56.15,5598.18017578125,3638.35009765625
2020-11-30,130.86,56.63,5518.5498046875,3621.6298828125
2020-12-01,131.63,57.53,5581.64013671875,3662.449951171875
2020-12-02,131.52,57.05,5583.009765625,3669.010009765625
2020-12-03,131.69,57.06,5574.35986328125,3666.719970703125
2020-12-04,131.17,56.13,5609.14990234375,3699.1201171875
2020-12-07,131.48,56.03,5573.3798828125,3691.9599609375
2020-12-08,132.59,56.6,5560.669921875,3702.25
2020-12-09,131.12,56.34,5546.81982421875,3672.820068359375
2020-12-10,132.4,56.67,5549.64990234375,3668.10009765625
2020-12-11,132.76,56.84,5507.5498046875,3663.4599609375
2020-12-14,132.71,56.69,5527.83984375,3647.489990234375
2020-12-15,134.17,56.49,5530.31005859375,3694.6201171875
2020-12-16,137.26,56.63,5547.68017578125,3701.169921875
2020-12-17,141.33,56.96,5549.4599609375,3722.47998046875
2020-12-18,141.81,57.62,5527.83984375,3709.409912109375
2020-12-21,143.0,57.77,5393.33984375,3694.919921875
2020-12-22,142.73,57.41,5466.85986328125,3687.260009765625
2020-12-23,141.01,58.12,5527.58984375,3690.010009765625
2020-12-24,140.83,58.11,5522.009765625,3703.06005859375
2020-12-28,143.46,58.27,5588.3798828125,3735.360107421875
2020-12-29,143.12,58.16,5611.7900390625,3727.0400390625
2020-12-30,143.95,58.82,5599.41015625,3732.0400390625
2020-12-31,145.37,59.99,5551.41015625,3756.070068359375
2021-01-04,141.57,58.31,5588.9599609375,3700.64990234375
2021-01-05,141.18,57.43,5564.60009765625,3726.860107421875
2021-01-06,137.99,56.93,5630.60009765625,3748.139892578125
2021-01-07,137.67,56.49,5669.85009765625,3803.7900390625
2021-01-08,136.41,55.72,5706.8798828125,3824.679931640625
