date,r_log_s,VaRGARCH_N,VaRGARCH_S,VaReGARCH_N,VaReGARCH_S,VaRaGARCH_N,VaRaGARCH_S
2024-07-15,0.28222164233526004,1.0789293503418849,1.1622045134949657,1.011465414356701,1.108831176631071,1.1581806459919965,1.1581806459919965
2024-07-16,0.63690499714532,1.068022692553354,1.1483057270605548,1.0127672093026252,1.113491661421875,1.1416682446492619,1.1416682446492619
2024-07-17,-1.4025441523645499,1.0378862639515842,1.1114489683468458,0.98373158790981,1.0683226086774604,1.1139550971207366,1.1139550971207366
2024-07-18,-0.7847112145349999,1.0471044927166482,1.1159172543534157,1.0088565277790105,1.0948003471781667,1.1111847661362495,1.1111847661362495
2024-07-19,-0.7165879226406,1.2533268304351868,1.3889637757400364,1.1738876117744583,1.3424981488749526,1.395002505538138,1.395002505538138
2024-07-22,1.07342172462202,1.2775781916374893,1.4271620164811196,1.2219173735467743,1.419445649183965,1.4132335272106,1.4132335272106
2024-07-23,-0.15593176939461,1.2878566590767373,1.4471668431256595,1.254601893311955,1.4741711934473654,1.4186869559102702,1.4186869559102702
2024-07-24,-2.34212422228928,1.3407554869881226,1.4973986569789255,1.346189854484089,1.561508579411263,1.453545067167188,1.453545067167188
2024-07-25,-0.51558890197172,1.2845783074077008,1.4356955637972502,1.2727917977234777,1.4823707431447122,1.4037117799466412,1.4037117799466412
2024-07-26,1.10294204095709,1.7521478830465014,2.001512887670734,1.6615009270088812,1.9516636849913878,2.0423385506816896,2.0423385506816896
2024-07-29,0.08129795718284,1.6786684478648664,1.9222511655649728,1.6088985454909281,1.894601319701155,1.9585672112516812,1.9585672112516812
2024-07-30,-0.49725143613676,1.66785450011656,1.911164330158845,1.6308937217378683,1.9279892341248452,1.929544002449936,1.929544002449936
2024-07-31,1.56699807019177,1.5770585835847335,1.8072198267553974,1.4990034717304566,1.7601925090973969,1.8394223226315574,1.8394223226315574
2024-08-01,-1.37881237919901,1.5228550703002721,1.748473623239221,1.4608929332044602,1.726101833804249,1.7756762799467969,1.7756762799467969
2024-08-02,-1.85529066085532,1.6107090166192009,1.8614515893728107,1.5618258026056258,1.876124439379782,1.8651747196953328,1.8651747196953328
2024-08-05,-3.04270413923931,1.675482603380114,1.9574373488442949,1.6449513545189978,2.0089293355783933,1.9386397694581203,1.9386397694581203
2024-08-06,1.03008494935995,1.8475241364166515,2.180544754457947,1.8345334430356741,2.2530865574399006,2.148517404668161,2.148517404668161
2024-08-07,-0.77647153887694,2.399981810950804,2.8263474308178513,2.3359390799707676,2.8187857382563957,2.8326521355325514,2.8326521355325514
2024-08-08,2.2781139590898802,2.288464035999035,2.6918152829061346,2.2448482903605256,2.69973169262841,2.700272161354444,2.700272161354444
2024-08-09,0.46607984343816,2.1905456933000713,2.567964644266768,2.1532803880575027,2.5869335025194,2.578758787838253,2.578758787838253
2024-08-12,0.00430330517200971,2.3409809596317785,2.7334120233263093,2.325824735279799,2.78515662928447,2.7198641749323356,2.7198641749323356
2024-08-13,1.67072334190499,2.22575610297495,2.571392106918415,2.1851230600809814,2.570365356586078,2.578268441413418,2.578268441413418
2024-08-14,0.38164365611984,2.119539317626005,2.4238329471458435,2.0289702767220255,2.349593137352856,2.4514753126280553,2.4514753126280553
2024-08-15,1.60044899313041,2.158598123347523,2.453890716648773,2.108976490703586,2.4349750630962768,2.459102943179775,2.459102943179775
2024-08-16,0.19878023683961,2.0673626260630247,2.3244463211361635,2.0019714982383885,2.2689961028856755,2.345383647007822,2.345383647007822
2024-08-19,0.9675327436177701,2.1009546758134467,2.3555226699290643,2.0747485934519556,2.35283390894171,2.355588494092912,2.355588494092912
2024-08-20,-0.19865272376096998,2.010358858403759,2.2313266351160173,1.9509673784812287,2.1692634512888147,2.2486418627890807,2.2486418627890807
2024-08-21,0.42307147210067,1.9676600925022252,2.170776724859891,1.9391695419046941,2.144236960293912,2.182672445433748,2.182672445433748
2024-08-22,-0.89729422566572,1.8868099419646303,2.0648543736544815,1.8445522012256668,2.0174666953181113,2.08629240413621,2.08629240413621
2024-08-23,1.14179374016644,1.8113130063757497,1.9670559136374608,1.7680963208513694,1.9086862288820825,1.994662667279454,1.994662667279454
2024-08-26,-0.31587101696057995,1.7901446095617013,1.9434552521475388,1.7792544525710297,1.9295960602015871,1.9587436152254125,1.9587436152254125
2024-08-27,0.15939251127232001,1.782070050577787,1.930847010230358,1.8049510199997671,1.958107483752017,1.9347465970251445,1.9347465970251445
2024-08-28,-0.5993900794735201,1.7130608351540262,1.8484225031238675,1.7340736190287054,1.8728937479225132,1.8570445249646093,1.8570445249646093
2024-08-29,-0.003937984343658622,1.6488931833580094,1.766016886129966,1.6387291032238498,1.741305698137407,1.7821858153786463,1.7821858153786463
2024-08-30,1.00424570791441,1.6086534643289834,1.7218097449999414,1.6204459957665298,1.727783654846418,1.7333112711615066,1.7333112711615066
2024-09-03,-2.13779633723976,1.5422352373247665,1.6402398970019965,1.528307499682273,1.612735044942783,1.6531567003659713,1.6531567003659713
2024-09-04,-0.16038290273809,1.5437341807674179,1.6453116869566415,1.5606894659194344,1.6571508573627802,1.6502228961606982,1.6502228961606982
2024-09-05,-0.30225810146741,1.8215176989831954,2.0093457227345564,1.784224422306087,1.9743353940200745,2.0190756762877413,2.0190756762877413
2024-09-06,-1.74109445074244,1.746829168778138,1.915227465666229,1.6975938271981506,1.86287440877746,1.929448338772138,1.929448338772138
2024-09-09,1.15135344358182,1.683446303379019,1.8379680130244815,1.6379375526843176,1.7894603546817907,1.853688059125603,1.853688059125603
2024-09-10,0.44626999777935006,1.8230086892309478,2.0172037276969097,1.7828675696360796,1.9898338420365833,2.026937845749189,2.026937845749189
2024-09-11,1.0608555649843299,1.8164511938823675,2.003476235185315,1.811457465668688,2.0181277643345847,2.0053386100463646,2.0053386100463646
2024-09-12,0.7467352156802599,1.748382667299079,1.9172876568239716,1.7435871612179015,1.9200953508624845,1.9252185523391017,1.9252185523391017
2024-09-13,0.5393142234356,1.737335674173889,1.9012840563557358,1.7631764007340267,1.9404084104008665,1.901238103903327,1.901238103903327
2024-09-16,0.12558408673102,1.694247481646336,1.8467446698304493,1.7385241315222733,1.9028981448687643,1.8455821673279944,1.8455821673279944
2024-09-17,0.02645150938964,1.6383259205367522,1.7759876281774305,1.688451362435554,1.8317851892796566,1.7782950111055102,1.7782950111055102
2024-09-18,-0.29006587083132,1.5717077654710327,1.6954644058114356,1.5899764386151691,1.6988461217062816,1.7059469258619935,1.7059469258619935
2024-09-19,1.68343568927251,1.5072127673239455,1.6155524177566278,1.4955133238499985,1.5817183051825026,1.6328534340252012,1.6328534340252012
2024-09-20,-0.19429136300157002,1.4563949215514385,1.5576590495220985,1.4499716598606582,1.5332577058520946,1.5748858420094118,1.5748858420094118
2024-09-23,0.28053344257130997,1.594506231575709,1.7328642473732714,1.589369258311624,1.722900607913833,1.7407139518347843,1.7407139518347843
2024-09-24,0.25080311033453,1.5353811323754205,1.6606983797092565,1.5249767792285107,1.644555508149624,1.6735130249225056,1.6735130249225056
